winner,loser,m_winner,m_loser,s_winner,s_loser,b_winner,b_loser
Vaidisova N.,Hantuchova D.,0.0,-0.06705352276137,2.5,1.7125458095834007,1.57,2.25
Oprandi R.,Likhovtseva E.,-1.5565275396156604,-0.2727845094146831,2.044109153513332,2.3207173189015635,1.83,1.83
Castano C.,Vinci R.,1.765210332107031,-1.0670592842253144,1.488384734084127,2.06521972102159,1.53,2.37
Bremond S.,Krajicek M.,0.2266687793608188,0.0,1.7313624435219672,2.5,2.0,1.72
Santangelo M.,Camerin M.E.,0.0,-1.297314078114054,2.5,2.027174827561275,1.72,2
Mirza S.,Kirilenko M.,0.0,0.9419376811159705,2.5,1.927104540249048,1.33,3
Safarova L.,Muller M.,0.0,-1.2973738562350408,2.5,2.026703715714413,1.07,7
Bammer S.,Harkleroad A.,-0.5459323838818858,0.0,2.201315020420191,2.5,,
Medina Garrigues A.,Vesnina E.,0.0,1.126402081180234,2.5,1.4790704137883932,,
Molik A.,Kostanic J.,0.0,-1.0274609973773714,2.5,2.1012810775856097,,
Bondarenko A.,Moore J.,0.0,0.0,2.5,2.5,1.12,5
Zheng J.,Foretz S.,0.0,0.0,2.5,2.5,1.57,2.25
Bardina V.,Dulko G.,0.0,0.2459165927548372,2.5,1.7342669753172588,1.44,2.62
Nakamura A.,Pennetta F.,-0.8630224563382541,-1.4293676531669481,2.106952802362415,2.081314721231551,2.1,1.66
Williams S.,Arvidsson S.,0.0,0.0,2.5,2.5,2.75,1.39
Stosur S.,Zvonareva V.,1.9182768063522557,3.366444512948985,1.6402311400991354,1.284051854266625,1.19,4
Golovin T.,Peng S.,0.0,-1.0250648436017906,2.5,2.1019990637207293,1.83,1.83
Fedak Y.,Bartoli M.,-1.614135274954902,-0.16466617390543964,2.032084783986066,1.696505781276453,,
Schnyder P.,Dushevina V.,0.0,0.0,2.5,2.5,1.36,3
Srebotnik K.,Bovina E.,-0.2222994321779368,-1.5565396546673382,1.683997805002581,2.0443293060678185,1.72,2
Jankovic J.,Hingis M.,4.839372795294834,3.4606870670989123,1.400245824119539,1.2721337263169135,2.1,1.66
Dementieva E.,Sugiyama A.,0.0,-1.7888465634064508,2.5,2.0056590056018484,1.83,1.83
Pratt N.,Safina D.,0.6077392711875942,4.9163942857034675,1.810878368201623,1.3868255463930979,1.39,2.75
Poutchkova O.,Obziler T.,0.8942862327971671,0.0,1.599526931359575,2.5,5.0,1.14
Zheng J.,Bremond S.,1.3095921546231177,0.7537603088321391,2.129757823920264,1.5259274907172062,1.9,1.8
Castano C.,Santangelo M.,1.9393064042173296,0.9808437709581364,1.3744969282027604,2.13465334460776,1.39,2.75
Bammer S.,Medina Garrigues A.,0.605243743497031,2.0153902510918016,1.7899361224851098,1.8900899145675691,1.25,3.5
Williams S.,Safarova L.,1.3095921546231177,1.0297812973820726,2.129757823920264,2.1306427328161432,,
Bardina V.,Nakamura A.,1.5678291000660254,-0.15116053747418465,2.000798967905532,1.728134606974798,,
Chakvetadze A.,Poutchkova O.,1.3095921546231177,0.8942862327971671,2.1299691050692684,1.599526931359575,,
Mirza S.,Oprandi R.,1.5978978737030405,-0.400226756771557,2.0152013022176125,1.695207829147148,,
Molik A.,Bondarenko A.,1.1078927303745658,1.3095921546231177,2.125805979929509,2.129757823920264,2.25,1.57
Jankovic J.,Stosur S.,5.041569333138223,2.676128163656024,1.3005948389408017,1.26460785011235,1.44,2.5
Mauresmo A.,Golovin T.,0.0,1.1897324274987866,2.5,2.119886316395512,3.25,1.3
Peer S.,Schnyder P.,2.6608846104414834,1.3095921546231177,1.2501283869595377,2.129757823920264,1.22,3.75
Li N.,Dementieva E.,0.657287457904631,0.945070322037511,1.5256724138339905,2.146077334578539,1.19,4
Clijsters K.,Pratt N.,0.0,2.7777425299124547,2.5,1.2863614461845783,1.83,1.83
Vaidisova N.,Fedak Y.,1.4436195633140183,-0.1411373000882168,2.0146894107775926,1.5952535699276669,1.28,3.25
Srebotnik K.,Kuznetsova S.,0.052240354726515226,0.0,1.459533234174216,2.5,7.0,1.07
Ivanovic A.,Petrova N.,1.5476469070999914,0.0,1.3939664886523038,2.5,1.44,2.62
Bardina V.,Castano C.,2.169122391284204,2.4725474446250937,1.8001387865925051,1.252624841599794,1.28,3.25
Mirza S.,Molik A.,2.1312647515353684,2.2460580324127033,1.8163757881564184,1.864435473797054,2.1,1.66
Chakvetadze A.,Zheng J.,2.539399295083114,2.356262741538705,1.7775661966740461,1.8065007152338868,2.75,1.39
Bammer S.,Williams S.,1.7708221813393534,2.3201947520273283,1.4414435124323148,1.8667129787375456,1.04,8.5
Clijsters K.,Peer S.,2.876024854284971,2.8549643535914586,1.7701146090205162,1.1588033944271454,1.1,6
Li N.,Srebotnik K.,1.5012248171585854,0.4166229601604032,1.391857272561382,1.3405742231335118,3.0,1.33
Jankovic J.,Mauresmo A.,5.169876153077322,1.78866682574144,1.2587424431547036,2.013067235092645,2.62,1.44
Vaidisova N.,Ivanovic A.,2.1053115954682853,1.9253317079480077,1.7905770045015201,1.3265755674260293,1.16,4.5
Bardina V.,Bammer S.,3.3365135681997393,2.4384894701079487,1.5647507121738704,1.2819586334140427,1.61,2.2
Chakvetadze A.,Mirza S.,3.341093331475231,3.057529160415215,1.6110386308076545,1.651500288091188,2.37,1.53
Clijsters K.,Li N.,3.820225881161099,1.7570853410996703,1.5225700187578481,1.2264290036781154,1.8,1.9
Jankovic J.,Vaidisova N.,5.296714422352457,2.9965103300320686,1.2317020393002571,1.595526511341807,1.08,7
Chakvetadze A.,Bardina V.,4.043700540807596,3.8883127307957874,1.4869468098515337,1.4478271860866914,1.72,2
Clijsters K.,Jankovic J.,4.143759650962497,5.473472376331543,1.418308611931137,1.2038719761998218,1.39,2.75
Mauresmo A.,Perry S.,1.3793679288695002,-0.7743147942732143,1.7813840916868071,2.140097447739543,1.04,9.5
Tu M.,Gallovits E.,-1.8158509115654842,0.0,2.0025086225390267,2.5,1.44,2.62
Poutchkova O.,Domachowska M.,1.0996912673985784,0.0,1.383336636861871,2.5,1.36,3
Sequera M.,Gajdosova J.,-0.13417635539824926,0.0,1.6482269255579027,2.5,2.37,1.53
Peer S.,Oprandi R.,2.645705318325012,-0.7318157094709261,1.0936325442507884,1.5584781512708847,1.1,6
Ondraskova Z.,Fernandez C.,0.0,0.0,2.5,2.5,1.83,1.83
Kirilenko M.,Sprem K.,-0.1973232807756543,0.0,1.6602228259272493,2.5,1.33,3.25
Benesova I.,Voskoboeva G.,-1.7218369901172457,0.0,1.9441740870499922,2.5,1.72,2
Yakimova A.,Pous Tio L.,0.0,0.0,2.5,2.5,1.57,2.25
Azarenka V.,Fedak Y.,0.0,-0.3123412956372174,2.5,1.4448397046697667,1.8,1.9
Muller M.,Cravero J.,-2.399113434768261,0.0,1.7924551921477092,2.5,1.83,1.83
Golovin T.,Smashnovai A.,-0.21871111414098016,0.0,1.737129096346959,2.5,1.1,6
Vakulenko J.,Likhovtseva E.,0.0,-2.2074595886425477,2.5,1.8805753788590573,2.0,1.72
Dementieva E.,Foretz S.,-0.2297984529722386,-1.0302674280535586,1.690843350279748,2.093462118482873,1.1,6.5
Camerin M.E.,Flipkens K.,-2.404358622416171,0.0,1.7559902283384332,2.5,1.53,2.37
Sugiyama A.,Arvidsson S.,-2.54117457534247,-1.3697404741597712,1.7923517131144837,2.007829083342039,1.28,3.5
Vaidisova N.,Craybas J.,2.5473222697420153,1.9127555090155142,1.3546002633020564,1.2538952167685538,1.1,6.5
Srebotnik K.,Dellacqua C.,-0.025039901925796963,-1.2062108207148556,1.2053788708332087,2.0048333820890623,1.16,4.5
Vesnina E.,Medina Garrigues A.,0.15850628701976235,0.7623299148415374,1.2366652519335974,1.4583730764370475,2.2,1.61
Jankovic J.,Wozniak A.,4.749025951086702,0.0,0.992722402529738,2.5,1.04,10
Birnerova E.,Sucha M.,-1.394594164366066,0.0,2.0199896565290567,2.5,2.37,1.53
Ruano Pascual V.,Czink M.,0.0,0.0,2.5,2.5,1.53,2.37
Bartoli M.,Dushevina V.,-1.3209334949368137,-1.6476776193655431,1.4743354130851976,2.0185637097708855,1.66,2.1
Safarova L.,Brianti A.,-0.44951825904191417,0.0,1.6649762005371012,2.5,1.33,3.25
Dulko G.,Sun T.T.,-0.12026887933329065,-0.3676197520004071,1.584587721292787,1.6678225299656069,2.0,1.72
Petrova N.,Tanasugarn T.,-1.2063088453339554,0.0,2.004450725247899,2.5,1.06,8
Schiavone F.,Kloesel S.,-1.075040314441076,0.0,2.0352437387060616,2.5,1.12,5.5
Schruff J.,Zheng J.,-0.26318394422718816,1.878795182847783,2.3139468597222805,1.5840392783315949,4.33,1.19
Kuznetsova S.,Moore J.,-1.7849261729309769,-1.929642181338134,1.900640018533384,1.9771646330143458,1.02,11
Adamczak M.,Tulyaganova I.,0.0,0.0,2.5,2.5,3.75,1.25
Kremer A.,Krajicek M.,0.0,-1.7215413512440103,2.5,1.9424613529447776,2.75,1.39
Williams S.,Santangelo M.,0.9543535791385545,-0.05968319980272373,1.4401451153945393,1.703791563330209,1.3,3.39
Sharapova M.,Pin C.,0.0,2.691686750006014,2.5,1.4149364862825562,1.01,15
Rodionova A.,Vinci R.,0.0,-1.4134235379902331,2.5,1.8649653564664979,2.62,1.44
Mirza S.,Savchuk O.,2.5132599737891623,0.0,1.402508203933492,2.5,1.11,6
Ivanovic A.,King V.,1.6484903128292676,-1.5341795022578226,1.143683372108961,1.9288417987237163,1.12,5.5
Chakvetadze A.,Bammer S.,4.625260340000375,1.9178949553975515,1.3819603270994514,1.132382133938221,1.14,5
Granville L.,Beygelzimer Y.,0.4547450902747369,0.0,1.5999525862183355,2.5,1.39,2.75
Kostanic J.,Ferguson S.,-1.6973061919018613,0.4068296742784984,1.8730973507363364,1.6355020998328,1.44,2.62
Stosur S.,Zakopalova K.,2.4592653877716577,0.0,1.1594793058636963,2.5,1.25,3.75
Kudryavtseva A.,Laine E.,0.0,0.9849866369606016,2.5,1.9288070126882864,2.1,1.66
Radwanska A.,Lepchenko V.,0.0,0.0,2.5,2.5,1.33,3.25
Nakamura A.,Daniilidou E.,-0.3614715285823117,1.9738012964608331,1.5805859366331205,1.6103609352977428,2.5,1.5
Voracova R.,Shaughnessy M.,0.0,-0.6842647329254218,2.5,2.138718224417686,2.75,1.39
Razzano V.,Pratt N.,1.0966258547170853,2.5671962288500962,1.4478870694668948,1.1959732186922754,1.57,2.25
Bondarenko A.,Cohen Aloro S.,-0.5865029140634587,0.0,1.7017067044217304,2.5,1.33,3.25
Garbin T.,Gagliardi E.,2.046285862011544,0.0,1.2624441580913077,2.5,1.36,3
Clijsters K.,Bardina V.,5.372761320810132,3.2655788593484902,1.2990508868338133,1.2016184537425623,1.01,13
Morigami A.,Pironkova T.,0.0,0.0,2.5,2.5,2.1,1.66
Hingis M.,Dechy N.,3.310049071929199,0.0,0.9621674501097253,2.5,1.12,5.5
Kanepi K.,Pennetta F.,-1.3117364153772766,-2.4325778853711655,2.021171718250492,1.7648880896237265,2.1,1.66
Molik A.,Chan Y.J.,1.0277108271738884,0.0,1.5187971459227914,2.5,1.39,2.75
Peng S.,Klepac A.,-1.687631562621481,0.0,1.8814599104452117,2.5,1.14,5
Schnyder P.,Brengle M.,0.07589247018491051,0.0,1.7873896063444874,2.5,1.03,11
Zvonareva V.,Obziler T.,2.7554015661674143,-1.171005860358078,1.0237782766244645,2.0269733716128564,1.12,5.5
Paszek T.,Bremond S.,0.0,0.10558205737652292,2.5,1.306519670300239,1.72,2
Safina D.,Bychkova E.,3.2601429768495978,-1.7888215489679307,0.9851115292228456,1.9972311248007828,1.07,7.5
Fedossova Y.,Castano C.,0.0,2.064600263881621,2.5,1.0830847998958972,3.39,1.3
Dominguez Lino L.,Rolle A.,-0.28315689519676096,0.0,2.3136995889069425,2.5,2.0,1.72
Li N.,Bovina E.,2.0063238829366914,-1.748145074901675,1.1183765262108898,1.7978073272328086,1.06,8
Groenefeld A.L.,Zahlavova S.,-1.134255590783437,-0.9335108551313621,1.9403259245546411,2.06746435319538,1.44,2.62
Harkleroad A.,Yuan M.,-1.019453202753564,0.0,2.038727865660431,2.5,1.72,2
Loit E.,Rezai A.,1.0169280143910246,0.0,1.3910875237560951,2.5,2.1,1.66
Hantuchova D.,Cornet A.,-0.014497305632697561,0.0,1.5956283794425972,2.5,1.19,4.33
Jankovic J.,Ruano Pascual V.,4.856940932138905,1.3095921546231177,0.9775498561468993,2.1299691050692684,1.05,8.5
Kuznetsova S.,Adamczak M.,-0.6058660600450295,1.3095921546231177,1.6030494251160032,2.1299691050692684,1.03,11
Camerin M.E.,Vesnina E.,-1.2662824138433428,0.8499668137602281,1.4357474418395857,1.0342592689225574,3.0,1.36
