winner,loser,m_winner,m_loser,s_winner,s_loser,b_winner,b_loser
Bartoli M.,De Los Rios R.,2.3443762666856154,0.9307994822964624,0.3682862861444108,0.5116514608163546,1.06,8.0
Pennetta F.,Gallovits E.,2.923265910714214,1.0933733610330012,0.33245036109797205,0.465835092310267,1.05,9.0
Chang K.C.,Kanepi K.,0.0,1.4540907964937593,2.5,0.4327810505131732,2.75,1.4
Rybarikova M.,Tetreault V.,1.676549420105616,0.5087362706654311,0.38814023781849594,1.1976748892331956,1.16,4.5
Zahlavova Strycova B.,Domachowska M.,0.698086074361283,0.8634811506654835,0.5340980220384832,0.4810261903755514,2.0,1.72
Mirza S.,Govortsova O.,1.6411597287209774,1.3440314021955082,0.4810954220357688,0.3956296655047888,2.1,1.66
Williams S.,Glatch A.,3.486168736315048,0.6544851312508162,0.3865879453904796,0.5960415317083738,1.01,15.0
Mauresmo A.,Malek T.,2.73225872004005,0.800386652784033,0.3974122524515088,0.5503198313999046,1.11,6.0
Czink M.,Camerin M.E.,1.829851367552548,0.5071844101018111,0.40601501843996757,0.5220957550217354,1.4,2.75
Craybas J.,Gullickson C.,0.951914833297358,-0.24854727714362013,0.45466761108547177,0.9473492990726073,1.53,2.37
Zvonareva V.,Llagostera Vives N.,2.7376386882765726,1.0655515969631464,0.406645404909416,0.4704966873026079,1.05,9.0
Chakvetadze A.,Sema E.,1.969641083434278,0.0,0.3804337490892805,2.5,1.083,7.0
Kerber A.,Petkovic A.,0.47890997891228576,1.862172748189463,0.6157855000401449,0.5632990522737552,2.25,1.57
Medina Garrigues A.,Brodsky G.,1.8828595016326977,-1.3908736173629421,0.39072204474286665,1.8821096802263304,1.06,8.0
Mattek-Sands B.,Benesova I.,0.36683966047201827,1.6452988913143973,0.6163333176998163,0.38708023128158137,3.0,1.36
Bacsinszky T.,Manasieva V.,1.7261871678512284,0.6462800214419833,0.44258161323364137,0.7566250214120147,1.53,2.37
Larcherde Brito M.,Johansson M.,1.4784889032218265,0.5918152370081693,0.5523644866535323,0.5351424831347475,1.4,2.75
Vesnina E.,Hradecka L.,2.310370147379596,1.5716053193131445,0.3655093504374058,0.4653739404464138,1.2,4.33
Flipkens K.,Dokic J.,0.6519041930616984,1.295552207115555,0.6103894963902597,0.5975431059950498,2.0,1.72
Martinez-Sanchez M.J.,Bammer S.,2.1299564670038675,2.012486117058745,0.4013090324827536,0.3523837387737668,2.75,1.4
Hantuchova D.,Shaughnessy M.,2.396633224578448,0.010581312718086976,0.3708610568111993,0.7066583090533972,1.1,6.5
Li N.,Olaru I.,2.5614725357664803,1.4384932588408645,0.4034958782302152,0.4488925846579025,1.16,4.5
Williams V.,Dushevina V.,3.540936826518519,2.0005095139773443,0.39718920320286305,0.40886687422761536,1.05,9.0
Peng S.,Groth J.,1.7341468050891289,1.0277502720890674,0.4248089979238396,0.588892833375719,1.33,3.25
Errani S.,Rus A.,1.598430062663854,0.012262375382476196,0.38990782068142193,0.6420631010923081,1.2,4.33
Martic P.,Bremond S.,1.144783906974604,0.611238329090288,0.5761981444506981,0.5757774953328981,1.33,3.25
Wozniacki C.,Voskoboeva G.,3.1713745883946194,0.854751827371663,0.34324756718109,0.4907166439505062,1.02,12.0
Schnyder P.,Safarova L.,1.920331635571162,1.9276534456570216,0.3820254517255152,0.3911899412833966,2.0,1.72
Cirstea S.,Morita A.,2.1153321117213113,0.5723244275741398,0.3815054518559835,0.4812806201307425,1.12,5.5
Bondarenko A.,Kudryavtseva A.,2.0112253333034693,1.01647789005093,0.3651709467784474,0.4286795679425491,1.22,4.0
Sevastova A.,Tanasugarn T.,0.21252888134713083,1.7473003648184056,0.8411783751079319,0.46421717972340704,1.83,1.83
Dubois S.,Mladenovic K.,0.07530526373745138,-1.7185146057465353,0.6138989011492483,1.735270448388412,1.5,2.5
Wickmayer Y.,Razzano V.,1.941751628129802,2.505859951850859,0.3926717208123577,0.3625513376113996,2.0,1.72
Kuznetsova S.,Goerges J.,3.117685425484538,1.173655402576932,0.38543545552650227,0.5130355212396966,1.05,9.0
Dulko G.,Makarova E.,1.8365094724179827,1.6352700847918138,0.3981390015011901,0.39324609986733977,1.83,1.83
Rodionova An.,Dominguez Lino L.,0.21760812360740722,0.6429383867911201,0.764330961796959,0.504087458922465,1.36,3.0
Safina D.,Rogowska O.,3.5085527925104416,0.6309181645201887,0.3625520347107969,1.01974689021915,1.005,21.0
Oudin M.,Pavlyuchenkova A.,1.3283023052210114,1.7817580635369241,0.5169360826021456,0.4311144443792417,1.8,1.9
Lisicki S.,Rezai A.,2.31327032359212,1.9292263165809913,0.41797771841670567,0.3952071461436738,1.72,2.0
Petrova N.,Srebotnik K.,2.1833425772269273,2.3646839518087406,0.39295172966246283,0.6312093254517454,1.14,5.0
Kvitova P.,Kleybanova A.,1.3311165780116496,2.0101108957414366,0.47056882003316214,0.3675535558590666,3.75,1.25
Garbin T.,Cecil M.,1.1727133996212986,-1.2134552301309363,0.43865576079036567,1.923240515601954,1.11,6.0
Coin J.,Hrdinova E.,0.6813210438276385,-1.2573702314609483,0.5261091056420889,1.9443481024074638,1.5,2.5
Barrois K.,Radwanska U.,1.2383032324929983,1.5922322156579214,0.5045378438742223,0.4108218998773153,2.5,1.5
Peer S.,Szavay A.,1.8123956708161746,2.210641523696883,0.4137488382603335,0.396787348199741,2.0,1.72
Jankovic J.,Vinci R.,3.167609319241657,1.6694784390973836,0.3649647188731708,0.40447855887744677,1.08,7.0
Shvedova Y.,Zec Peskiric M.,1.4469954149322264,0.46405286482853364,0.4282985034455555,0.5968167718675134,1.14,5.0
Suarez Navarro C.,Lepchenko V.,1.7263105992915642,0.538860241716644,0.4010524395539542,0.542127494422577,1.72,2.0
Dementieva E.,Pin C.,3.5416647008962494,1.1118773546320972,0.3655603989261644,0.5293394357952119,1.01,15.0
Perry S.,Niculescu M.,0.21742553737729498,0.5738267466883196,0.8753737914068258,0.46745191022896804,2.25,1.57
Mchale C.,Hercog P.,-1.7997453103984518,0.8504932709375652,1.8863874915796182,0.5884397476640706,2.75,1.4
Zheng J.,Groenefeld A.L.,2.3011669338319845,1.5116879990272336,0.3730230091643448,0.4106210332272754,1.22,4.0
Cornet A.,Adamczak M.,1.4419118879411272,-0.24470962677259905,0.4080644065139385,1.0707505974096945,1.25,3.75
Sharapova M.,Pironkova T.,3.2645813296048884,0.6246080020577257,0.39806917766687466,0.4834542501204854,1.06,8.0
Bondarenko K.,Ivanovic A.,1.9837477227795353,2.6017130718729433,0.40127582569243003,0.40773583492783305,2.75,1.4
Vesnina E.,Craybas J.,2.3690868579429796,0.9975287608809534,0.3628384679626644,0.44928571819818325,1.14,5.0
Pennetta F.,Mirza S.,2.9349332521280718,1.7296019386526285,0.33289616640728453,0.46952831276718526,1.12,5.5
Rybarikova M.,Chang K.C.,1.7111566215201957,2.4547398453770604,0.38641541899756915,1.6927636648035442,1.25,3.75
Li N.,Larcherde Brito M.,2.5980824244627603,1.5734100996237814,0.39988678384336085,0.5371726599182198,1.16,4.5
Wozniak A.,Mauresmo A.,1.9115813014386172,2.760159205438141,0.3877261374975178,0.3961120509314075,2.75,1.4
Kirilenko M.,Radwanska A.,1.6568944559595982,2.758506776789426,0.4017077238633177,0.3498962140734806,2.75,1.4
Zvonareva V.,Chakvetadze A.,2.764822754129959,1.9957807266811647,0.40407262655361426,0.38150327439934506,1.36,3.0
Williams V.,Mattek-Sands B.,3.5732515349017406,0.721771057157238,0.39381023772503776,0.5700830002109202,1.06,8.0
Flipkens K.,Medina Garrigues A.,0.8876878715818861,1.8846951217603698,0.5781072433817852,0.3917568973909112,2.75,1.4
Clijsters K.,Bartoli M.,3.531653501583248,2.402168585506882,0.6267099959124861,0.36640677802038807,1.25,3.75
Schiavone F.,Voegele S.,2.04261032278944,1.5616739683907142,0.35979745351002657,0.5641328202586844,1.25,3.75
Azarenka V.,Zahlavova Strycova B.,3.2683537954745376,0.8724492012116365,0.3956320249780299,0.5140838083496325,1.04,10.0
Martinez-Sanchez M.J.,Kerber A.,2.223843226737257,0.7944784362531292,0.39476671497014093,0.5783926471513158,1.36,3.0
King V.,Stosur S.,1.093789749807153,2.924904648024061,0.4950622359542635,0.35227166788781317,6.0,1.11
Hantuchova D.,Bacsinszky T.,2.4263972684509647,1.7618691580932604,0.37035842017215,0.43791412932874785,1.4,2.75
Williams S.,Czink M.,3.504467644639501,1.8695074705175996,0.38777752516085057,0.40308935396802437,1.03,11.0
Safina D.,Barrois K.,3.518343827178459,1.4013351525620628,0.36325722599770643,0.4875320034563863,1.05,9.0
Dulko G.,Bondarenko A.,1.9150262934590656,2.0526553944462793,0.3920474541628055,0.3626394856876231,2.5,1.5
Cirstea S.,Dubois S.,2.133349943361577,0.13728613166152848,0.3795851387736872,0.604192704731018,1.14,5.0
Petrova N.,Coin J.,2.275444346769214,0.7054338305795718,0.38683922119372954,0.5203071453541833,1.22,4.0
Oudin M.,Dementieva E.,1.5047056412746664,3.5521525324657244,0.4957167928656556,0.3656090753085139,11.0,1.03
Zheng J.,Cornet A.,2.3491984151804326,1.475711601999576,0.3692838441437178,0.40547253911294173,1.22,4.0
Bondarenko K.,Perry S.,2.1187821059624086,0.6207317244293361,0.3918542512443126,0.790564012487838,1.4,2.75
Wozniacki C.,Martic P.,3.1827177707805494,1.2644608807616304,0.3442586326412949,0.5563325768816508,1.04,10.0
Kvitova P.,Garbin T.,1.4889711965335386,1.190658452665296,0.45617354214797806,0.43769346175665685,1.72,2.0
Wickmayer Y.,Peng S.,2.056908625854669,1.7943778399137447,0.3853396274399116,0.41864171515932297,1.4,2.75
Shvedova Y.,Jankovic J.,1.5099604172656746,3.2058697090519916,0.4234874979493004,0.36324614673660965,7.0,1.08
Errani S.,Schnyder P.,1.617823778399058,1.9907779045963299,0.38782614270777765,0.37659191171589695,2.37,1.53
Rodionova An.,Lisicki S.,0.5536331492244819,2.386979753441464,0.6989565400985639,0.41118991674342553,4.5,1.16
Kuznetsova S.,Sevastova A.,3.135754654859018,0.8114395216485495,0.3839362588343035,0.7232373075538185,1.04,10.0
Peer S.,Suarez Navarro C.,1.936355293889364,1.7644289393845012,0.40537332180737007,0.3973898388530016,1.4,2.75
Sharapova M.,Mchale C.,3.280372706104241,0.3828907117461504,0.3992137026879658,1.2285389452958095,1.02,12.0
Pennetta F.,Wozniak A.,2.9661875118734478,2.028359550453537,0.33212215726034594,0.3806735115918435,1.14,5.0
Hantuchova D.,King V.,2.48957876649778,1.3576766265072646,0.36670171403740925,0.4747549459504835,1.33,3.25
Williams S.,Martinez-Sanchez M.J.,3.518833903661936,2.242655047946599,0.3842570709896301,0.3918739427776233,1.02,12.0
Schiavone F.,Azarenka V.,2.092874184468452,3.2743115329582726,0.3570845727314275,0.39550831271941667,6.5,1.1
Zvonareva V.,Vesnina E.,2.819521191466329,2.3803092465292877,0.3993233144702661,0.36127209085146883,1.36,3.0
Li N.,Kirilenko M.,2.638342347818493,1.7957571852780962,0.396070875925974,0.39127486286199786,1.4,2.75
Clijsters K.,Flipkens K.,3.6094773373855533,1.1465566547657988,0.6079962917073833,0.5466871815193342,1.04,10.0
Williams V.,Rybarikova M.,3.56967625070585,1.7806843066748381,0.394659835763377,0.38403622117986863,1.11,6.0
Petrova N.,Zheng J.,2.3028864217100655,2.3860546509711646,0.38423507950707536,0.3665809420443593,1.83,1.83
Oudin M.,Sharapova M.,1.7902195749493375,3.294810925621495,0.47377416835612934,0.3987378971254103,4.5,1.16
Dulko G.,Shvedova Y.,1.9930411830146353,1.7153138476102714,0.3853191577575057,0.4125665455285415,2.37,1.53
Wickmayer Y.,Errani S.,2.1288233328801742,1.7178321753744616,0.38013650374604435,0.3813882204442027,1.44,2.62
Bondarenko K.,Rodionova An.,2.1510540567700938,1.0416847429321001,0.39006567850784213,0.639413949926203,1.25,3.75
Kuznetsova S.,Peer S.,3.142705934754003,2.0353788453029704,0.3831928771711043,0.39791270779902516,1.33,3.25
Wozniacki C.,Cirstea S.,3.186187165887394,2.1398399654692426,0.3441213477551975,0.378630809031215,1.3,3.4
Kvitova P.,Safina D.,1.5810617812792613,3.524490215669204,0.44738510189970926,0.364180461670107,5.5,1.12
Williams S.,Hantuchova D.,3.552297077494787,2.529335760825896,0.38210753976537915,0.3644648991757121,1.04,10.0
Li N.,Schiavone F.,2.683755993744536,2.2071983944973486,0.39210995192295894,0.352187240720724,1.5,2.5
Clijsters K.,Williams V.,3.63095262754162,3.5949795433953984,0.6011320804267399,0.39326891320510066,1.72,2.0
Pennetta F.,Zvonareva V.,3.000009962771801,2.884062319282366,0.3314840646733198,0.39392889794587516,1.5,2.5
Bondarenko K.,Dulko G.,2.186354888834853,2.0551705510918916,0.3870198317318466,0.3804908731077996,1.72,2.0
Oudin M.,Petrova N.,2.003933422542956,2.373781617982529,0.45694328667968226,0.37810515275945483,1.72,2.0
Wickmayer Y.,Kvitova P.,2.1858523990278886,1.8095918938608437,0.3758087765099605,0.4329747819973558,1.5,2.5
Wozniacki C.,Kuznetsova S.,3.217895030616148,3.181025518386616,0.34270848532982584,0.3806235429731883,1.9,1.8
Clijsters K.,Li N.,3.789650613632822,2.74370948709967,0.5809577219407027,0.38754189135068384,1.22,4.33
Williams S.,Pennetta F.,3.5895392531325085,3.045540096678101,0.37931687933053454,0.3299721982525328,1.14,5.0
Wickmayer Y.,Bondarenko K.,2.245349089994778,2.2624817192479085,0.3719411928627699,0.38194238481137954,2.5,1.53
Wozniacki C.,Oudin M.,3.2761166437143077,2.1340515508963387,0.3407067440152073,0.4448957890008398,1.36,3.2
Clijsters K.,Williams S.,3.8805677031498074,3.642882204405232,0.5703771915401057,0.37980580695071964,3.0,1.4
Wozniacki C.,Wickmayer Y.,3.306185190690683,2.3165367134146795,0.3426754405336946,0.3700647013626261,1.2,4.5
Clijsters K.,Wozniacki C.,4.026551942684824,3.3394794285404266,0.5551215396039463,0.34034886978010126,1.22,4.33
Panova A.,Sema E.,-0.8605117378494623,-0.9281877382574586,1.5198487058253096,2.019381479543839,2.2,1.61
Amanmuradova A.,Fujiwara R.,0.28905720348148095,-0.05085570539932608,0.56198322690409,1.099416603904848,1.61,2.2
Govortsova O.,Han X.,1.2683909880708686,0.16405956802862054,0.4034403389839799,1.2141036895183785,1.36,3.0
Craybas J.,Granville L.,0.9699852329929533,0.6793138926147808,0.4538515102739331,0.8600067568888093,1.36,3.0
Czink M.,Adamczak M.,1.843688896589764,-0.4493018679802582,0.4108638799446343,1.0076941191168065,1.08,7.0
Kudryavtseva A.,O'Brien K.,0.9533156979826062,-0.6399625328585608,0.4341709393392296,0.6848521271333803,1.36,3.0
Marino R.,Albanese L.,0.7158888928270706,-1.9307060565258114,1.2838909068273803,1.8423754548969757,1.57,2.25
Sevastova A.,Lu J.,0.7766455971710012,0.0,0.7156833472288655,2.5,2.75,1.4
Peer S.,Woerle K.,1.9848094788471162,-1.8307281360756278,0.4028043353332843,1.8041233991072199,1.72,2.0
Brianti A.,Ferguson S.,0.6264707415732348,-0.4287429928555531,0.5472064322889871,1.218694415419421,1.5,2.5
Chan Y.J.,Johansson M.,0.8976609833156448,0.4815851620019828,0.5843818969295463,0.5330360676916014,1.44,2.62
Spears A.,Chang K.C.,-0.21088946438177958,1.2060153458775236,0.9866735041981491,1.2084037416913933,1.36,3.0
Wienerova L.,Zhang L.,-0.059045819566124286,0.0,1.0239909169561243,2.5,1.11,6.0
Medina Garrigues A.,Date Krumm K.,1.761261105879428,-2.035943263931152,0.3973286670248337,1.559532152227904,1.72,2.0
Morita A.,Poutchek T.,0.5217013497523888,-0.18924455376571375,0.4867177982300818,0.8116519689580576,2.62,1.44
Camerin M.E.,Chen Y.,0.4457189891913923,-1.2433583461663826,0.5248670855025193,2.0053849213627726,2.1,1.66
Peng S.,Haynes A.,1.7156833538115552,1.3071170225841149,0.42174467437903396,0.7316911550271088,4.0,1.22
Scheepers C.,Parra Santonja A.,0.48341377467246616,0.12246861658290902,0.7761522793631409,0.8173849856924013,1.14,5.0
Savchuk O.,Srebotnik K.,0.10496808745178941,2.14436205192289,0.6492721280882348,0.608096020200178,1.33,3.25
Hsieh S.W.,Yan Z.,0.41808391405506523,0.5041849025577592,0.7895923844674162,0.7034055814075313,1.28,3.5
Tetreault V.,Zahlavova Strycova B.,0.16423633959725842,0.8351886955390921,1.0998634307881061,0.5182068073925739,1.53,2.37
Goerges J.,Arvidsson S.,1.1568834079707289,0.22594945709841371,0.5146232690590802,0.6396660532823765,2.0,1.72
King V.,Tatishvili A.,1.3006124493720845,-1.5428344422586417,0.4749027780379133,1.1539420835762189,2.37,1.53
Safarova L.,Dubois S.,1.8377594571898697,0.08507969608933691,0.39860118828518337,0.6009408825760738,1.12,5.5
Osterloh L.,Perry S.,0.41009447051804593,0.4998860907979915,0.7005291621579829,0.7610018885958288,1.22,4.0
Bremond S.,El Tabakh H.,0.4902760077123832,-0.6507751889856965,0.5677628114596803,2.120329310267863,1.12,5.5
Kulikova R.,Cravero J.,2.243877385497242,-1.1192279428811427,0.9436511640120825,1.3469443791288724,1.83,1.83
Mattek-Sands B.,Lepchenko V.,0.7220033801274992,0.47302101890940457,0.5746665702195086,0.5388826462189255,1.66,2.1
Sadikovic A.,Puchkova O.,0.0,-0.9065818047563328,2.5,1.3300222428771935,2.1,1.66
Brengle M.,Cecil M.,-0.5822366549137402,-1.6531237726395192,1.0481657349198743,1.7489317767613481,1.8,1.9
Petrova N.,Gullickson C.,2.2798236033970314,-0.4710979994140881,0.37933952329397536,0.9090031929147733,1.28,3.5
Panova A.,Govortsova O.,-0.22643394873509953,1.3170887013093973,1.3399049669464358,0.4010633225275647,1.4,2.75
Peer S.,Amanmuradova A.,1.9933821842311756,0.4080753355696726,0.4027848486448793,0.5468755903741912,1.28,3.5
Morita A.,Spears A.,0.6023829632594169,0.3725582076753876,0.47532879457680405,0.8817673447110537,1.61,2.2
Brianti A.,Wienerova L.,0.7027691496356453,0.22554571386251762,0.5360955657683601,0.9619779314123031,1.44,2.62
Wozniak A.,Dentoni C.,1.997391417197543,-0.21729027495542175,0.38936106053737946,0.924462904651881,2.2,1.61
Czink M.,Bremond S.,1.864978246662124,0.557614483822599,0.40976199382796447,0.5604337835802158,1.53,2.37
Goerges J.,Marino R.,1.2351593734443036,0.905173217382838,0.5019736404593617,1.2250425342607598,,
Kudryavtseva A.,Craybas J.,0.9855178256282935,1.0555601602425133,0.43027692841240156,0.44561927062546103,1.28,3.5
Petrova N.,Brengle M.,2.2790707140894457,-0.32267574282694944,0.37892255026326477,0.9865009694653154,2.0,1.72
Savchuk O.,Hsieh S.W.,0.5321923649176307,0.7173336401406284,0.5994697187200044,0.7350593061793211,2.2,1.61
Chan Y.J.,Camerin M.E.,1.038060126634103,0.5071988074281673,0.5609030230916832,0.520210795938838,1.33,3.25
Sevastova A.,Medina Garrigues A.,0.8890256546486699,1.7702607434288111,0.6993997969785133,0.3984429656175738,1.66,2.1
Peng S.,Scheepers C.,1.791495652140057,0.7155631589532802,0.41563257255271,0.7232856234087182,,
Osterloh L.,Sadikovic A.,0.6443229312988781,1.2365445012499636,0.6612712186490847,2.0119839243458597,1.5,2.5
Mattek-Sands B.,King V.,0.8700680249133749,1.3148611971327426,0.5502084665938299,0.4734366156337706,1.08,7.0
Safarova L.,Tetreault V.,1.8621773278510738,0.8114971060976435,0.3967564461084108,0.9103043494536484,1.07,7.5
Peer S.,Chan Y.J.,2.025206712809628,1.1501302805669427,0.4003289096089521,0.5416797759545103,1.25,3.75
Peng S.,Panova A.,1.8391414152586854,0.9584524402202101,0.41037480682256927,1.0401264524455553,1.33,3.25
Brianti A.,Sevastova A.,0.7986900574194796,1.2386784902758805,0.523218430121991,0.6372218124458151,1.83,1.83
Morita A.,Savchuk O.,0.7008818888459253,0.7166071223959065,0.46489866795550494,0.5723417977262826,1.05,9.0
Wozniak A.,Kulikova R.,2.019282259006476,2.2987749707529233,0.38874071144027206,0.9265683549639113,1.4,2.75
Goerges J.,Osterloh L.,1.3283563877654023,0.8019847176657317,0.49308607037791413,0.6446526064094928,1.83,1.83
Safarova L.,Mattek-Sands B.,1.9042566451987872,1.0594625779156208,0.3929031368250147,0.5241883013441205,1.16,4.5
Wozniak A.,Kudryavtseva A.,2.019282259006476,1.0883781374483306,0.38874071144027206,0.42090495782479653,1.1,6.5
Peer S.,Peng S.,2.0761770407372717,1.8910228529961033,0.39509946133541557,0.40604236371043245,1.36,3.0
Brianti A.,Morita A.,0.9624510770223718,0.8132238283290277,0.5046163192083264,0.4518428836192871,1.33,3.25
Czink M.,Petrova N.,1.9044672163863485,2.301373817021744,0.40737870308229834,0.3802605888671546,1.22,4.0
Safarova L.,Goerges J.,1.9557144296484934,1.4223476124973695,0.3879397687124361,0.4809190389522443,4.0,1.22
Czink M.,Wozniak A.,1.9044672163863485,2.1408294066547255,0.40737870308229834,0.37775428990541315,1.3,3.4
Peer S.,Brianti A.,2.147337667365933,1.0841785304298606,0.3883745378835783,0.48911293526931615,2.75,1.4
Czink M.,Safarova L.,2.099088628314075,2.014490443602311,0.390147169790634,0.3825888770936773,2.5,1.53
Voskoboeva G.,Silva N.,0.8710638671178537,-0.19918950097734262,0.5041107356055612,1.0976631946191318,2.0,1.72
Voegele S.,Diatchenko V.,1.4801295927389564,0.30211816084839116,0.5564740550780752,0.9175861899986874,1.36,3.0
Chang K.C.,Kutuzova V.,0.24423238034739536,0.650939851885186,1.0455660064503214,0.5676197177853392,1.28,3.5
Bammer S.,Makarova E.,1.9709090774008537,1.5636892931821817,0.37376641404860245,0.4086033568770498,1.25,3.75
Kleybanova A.,Srebotnik K.,1.926656850653169,1.7721694701672377,0.38541553286170827,0.5803181304021755,1.16,4.5
Shaughnessy M.,Yoo M.,-0.03784356039998507,0.0,0.7070046572657737,2.5,1.4,2.75
Sevastova A.,Johansson M.,1.0184955450974937,0.38437736534511563,0.6123807956586184,0.5229009336573719,1.3,3.4
Chan Y.J.,Namigata J.,1.0709062100072717,-2.2080551179850048,0.52951430290116,1.8070963069578219,3.25,1.33
Scheepers C.,Kim S.J.,0.5846808536813558,-0.9348680172978721,0.6958761883541379,2.167575992494474,1.11,6.0
Groenefeld A.L.,Cirstea S.,1.4547053179015204,2.1234684896210303,0.4255294064017262,0.3927993632576022,1.44,2.62
Kirilenko M.,Ferguson S.,1.7649993541915467,-0.7319534689698266,0.40533586500600066,1.1173356443810583,1.4,2.75
Rybarikova M.,Brianti A.,1.7539742845150372,1.0249468517600846,0.3999949296063756,0.47951074401381216,1.33,3.25
Dushevina V.,Radwanska U.,1.9705971742870985,1.503810947777778,0.42650962574219925,0.4233687198473733,1.83,1.83
Pavlyuchenkova A.,Haynes A.,1.7195026025642766,1.1060706090129897,0.4433054037521692,0.696242147355266,1.11,6.0
Medina Garrigues A.,Petkovic A.,1.6529964041736156,1.56996241924446,0.3948294962440316,0.5498239646017745,1.14,5.0
Schiavone F.,Sema Y.,2.1855432625882365,1.2642475691971673,0.36645171673907523,1.457348783571354,1.14,5.0
Woerle K.,Sharipova S.,-1.9319319800055967,0.0,1.7343021269214633,2.5,3.25,1.33
Mayr P.,Dzehalevich E.,0.7709365445944633,-1.6209089854526082,0.4854067432933381,1.0232906151050065,1.8,1.9
Rodina E.,Kucova K.,0.4921030124341987,0.1162179710363592,0.7792723075411657,1.188275468751504,1.33,3.25
Ivanova E.,Wienerova L.,0.3462559737881305,-0.05520752554911716,0.8037296874931797,0.9032983453217588,1.44,2.62
Manasieva V.,Kolesnichenko A.,0.47827716755858934,0.0,0.7364539013250685,2.5,5.0,1.14
Kustova D.,Fedak Y.,-1.7721699681453014,0.10904989481359198,1.3921219994950214,0.799811207854468,2.37,1.53
Shvedova Y.,Camerin M.E.,1.6652004213235136,0.4192718462449373,0.42070914366442247,0.5119502805697874,1.1,6.5
Niculescu M.,Dentoni C.,0.45072481305401124,-0.2754841506632322,0.47737608107889706,0.8912574534341208,1.28,3.5
Panova A.,Zahlavova S.,0.644110963278498,-0.9536755283620806,0.9427468046601737,0.9586684603683971,1.4,2.75
Abduraimova N.,Tsurenko L.,-1.536236741416705,0.0,1.9579853437901282,2.5,2.37,1.53
Bychkova E.,Olaru I.,-0.01731494517528911,1.3745370546005289,0.7546311749014543,0.4619425725922411,5.5,1.12
Amanmuradova A.,Lykina K.,0.36360858865581663,-1.296174738521354,0.5410161350094654,2.0941449851463654,2.62,1.44
Date Krumm K.,Lee Y.R.,-2.1143891112802913,-2.1709018761663414,1.5228395680797868,1.7799081135750008,3.25,1.33
Hantuchova D.,Morita A.,2.507847482986804,0.7161070472138265,0.3794638116123525,0.44393641121738003,1.53,2.37
Chan Y.J.,Pavlyuchenkova A.,1.0829022789976022,1.783082823365565,0.5275319206468586,0.43531246542589985,2.87,1.4
Rybarikova M.,Bammer S.,1.8229363779235268,2.03252382356,0.39283430854856016,0.36832525051744147,,
Medina Garrigues A.,Shaughnessy M.,1.748195280169581,0.10007926927765289,0.3880848967043846,0.6868814180001037,,
Groenefeld A.L.,Chang K.C.,1.5809468248158907,0.8072692995141737,0.4137214142743206,0.909666655643802,1.2,4.33
Govortsova O.,Rodionova Ar.,1.2116744264573132,0.12272593214506564,0.40125404055814284,1.7502795676860836,1.66,2.1
Peer S.,Ani M.,2.1995401135817327,0.2584725761568093,0.38585557631165895,0.6149741189731215,1.5,2.5
Kustova D.,Voskoboeva G.,-0.5637712294730861,0.9427783802835403,1.0611206673484046,0.495810735662606,1.5,2.5
Voegele S.,Abduraimova N.,1.5482034922181143,-0.32380368866178266,0.5454341976581979,1.603645739869917,1.11,6.0
Shvedova Y.,Ivanova E.,1.7108315399273961,0.580402512610433,0.4149631285687068,0.7551283318496742,1.9,1.8
Niculescu M.,Rodina E.,0.5364869648288785,0.7028434047007385,0.46702733027015003,0.7401983233345831,1.16,4.5
Date Krumm K.,Kleybanova A.,-1.3611726587522264,1.997864107060631,1.228681354165666,0.38056165628683913,1.22,4.0
Kirilenko M.,Schiavone F.,1.7856519908545623,2.2330469511649924,0.4046676939794046,0.36597793513452426,1.61,2.2
Hantuchova D.,Scheepers C.,2.532509607813394,0.6952176791582488,0.3771243496772499,0.6819212174879019,5.0,1.14
Dushevina V.,Sevastova A.,2.044288604841716,1.1578792429324984,0.4196123844179736,0.5845965694748025,2.75,1.4
Amanmuradova A.,Bychkova E.,0.42616646740865166,0.4624893306382042,0.5368046969069842,0.687631354380095,1.44,2.62
Govortsova O.,Manasieva V.,1.2553789889487235,0.6606522393936116,0.399095985588763,0.714243215070055,1.28,3.5
Panova A.,Mayr P.,0.8200464722295342,0.8018882169537188,0.8901144209521875,0.48056498460760616,1.06,8.0
Peer S.,Woerle K.,2.2313347183833465,-0.8580975156371471,0.383251597858939,1.3505075545507257,2.25,1.57
Groenefeld A.L.,Chan Y.J.,1.644975143700455,1.2875223643377895,0.40951083400104343,0.506720394056441,1.1,6.5
Kirilenko M.,Dushevina V.,1.8922660920288217,2.0984732343325017,0.3955195453765079,0.41363824621174977,1.14,5.0
Date Krumm K.,Hantuchova D.,0.14138899537481625,2.5546246133161143,0.8040389764968984,0.3750829381463056,1.5,2.5
Medina Garrigues A.,Rybarikova M.,1.787896225883208,1.9120789335522381,0.38314712956303043,0.38633895008676644,1.61,2.2
Peer S.,Panova A.,2.2430225669777353,1.1910128592055718,0.382754699426556,0.8101907730209246,1.53,2.37
Govortsova O.,Kustova D.,1.3315319606993599,0.27369196757647823,0.39349837735498666,0.893755632200449,2.0,1.72
Shvedova Y.,Niculescu M.,1.7637483934821663,0.6520333809179286,0.41118854269813715,0.45534736510711127,1.05,9.0
Amanmuradova A.,Voegele S.,0.5697203371110007,1.5944537501469929,0.517515923660257,0.5398568499984211,1.1,6.5
