date,bankroll,bet_size,profit,bet_on,odds_taken,predicted_prob,daily_return
2007-01-04,76.59162739747859,4.733485132049489,6.4848746309078,Peer S.,2.37,0.5,0.09250000000000003
2007-01-04,71.42029489071453,5.171332506764067,-5.171332506764067,Stosur S.,2.37,0.5,-0.06751824817518237
2007-01-04,55.79710538337073,15.623189507343803,-15.623189507343803,Castano C.,9.0,0.5,-0.21875
2007-01-05,43.84058280121986,11.95652258215087,-11.95652258215087,Garbin T.,8.0,0.5,-0.2142857142857142
2007-01-05,41.648553661158864,2.1920291400609933,-2.1920291400609933,Peer S.,2.25,0.5,-0.050000000000000044
2007-01-06,52.06069207644858,5.206069207644858,10.412138415289716,Safina D.,3.0,0.5,0.25
2007-01-08,60.13009934829812,4.981115599907118,8.069407271849531,Bremond S.,2.62,0.5,0.15500000000000003
2007-01-08,57.12359438088321,3.006504967414906,-3.006504967414906,Camerin M.E.,2.25,0.5,-0.04999999999999993
2007-01-08,53.26670935881628,3.856885022066933,-3.856885022066933,Muller M.,2.37,0.5,-0.06751824817518248
2007-01-08,46.60837068896424,6.658338669852035,-6.658338669852035,Kostanic J.,3.0,0.5,-0.125
2007-01-08,36.89829346209669,9.71007722686755,-9.71007722686755,Moore J.,7.0,0.5,-0.20833333333333337
2007-01-08,29.97986343795356,6.918430024143129,-6.918430024143129,Arvidsson S.,5.0,0.5,-0.1875
2007-01-09,28.480870266055884,1.4989931718976781,-1.4989931718976781,Obziler T.,2.25,0.5,-0.04999999999999993
2007-01-09,25.75584872825424,2.7250215378016436,-2.7250215378016436,Bremond S.,2.62,0.5,-0.0956790123456791
2007-01-09,26.399744946460597,0.585360198369415,0.6438962182063566,Castano C.,2.1,0.5,0.025000000000000133
2007-01-09,31.34969712392196,2.8285441014064925,4.949952177461362,Bammer S.,2.75,0.5,0.1875
2007-01-09,26.1247476032683,5.224949520653659,-5.224949520653659,Safarova L.,4.0,0.5,-0.16666666666666663
2007-01-09,22.859154152859762,3.2655934504085375,-3.2655934504085375,Oprandi R.,3.0,0.5,-0.125
2007-01-10,23.43063300668126,0.5195262307468131,0.5714788538214945,Bardina V.,2.1,0.5,0.025000000000000133
2007-01-10,20.920208041679697,2.510424965001563,-2.510424965001563,Zheng J.,2.75,0.5,-0.1071428571428571
2007-01-10,36.61036407293947,3.922539007814943,15.690156031259772,Bammer S.,5.0,0.5,0.75
2007-01-11,32.68782506512453,3.922539007814943,-3.922539007814943,Mirza S.,2.75,0.5,-0.1071428571428571
2007-01-12,27.78465130535585,4.903173759768679,-4.903173759768679,Bardina V.,3.5,0.5,-0.1499999999999999
2007-01-08,29.52119201194059,1.3892325652677926,1.7365407065847407,Stosur S.,2.25,0.5,0.0625
2007-01-08,27.06109267761221,2.4600993343283823,-2.4600993343283823,Peng S.,2.5,0.5,-0.08333333333333337
2007-01-08,35.517684139366025,3.7584850941128067,8.456591461753815,Fedak Y.,3.25,0.5,0.3125
2007-01-08,29.86714348083052,5.650540658535504,-5.650540658535504,Dushevina V.,3.75,0.5,-0.15909090909090906
2007-01-08,24.889286234025434,4.977857246805087,-4.977857246805087,Bovina E.,4.0,0.5,-0.16666666666666663
2007-01-08,21.432440923744124,3.4568453102813104,-3.4568453102813104,Sugiyama A.,3.25,0.5,-0.13888888888888884
2007-01-08,48.222992078424284,4.465091859113359,26.790551154680156,Pratt N.,7.0,0.5,1.25
2007-01-09,43.609063824007144,4.6139282544171385,-4.6139282544171385,Stosur S.,2.62,0.5,-0.095679012345679
2007-01-09,37.552249404006155,6.056814420000992,-6.056814420000992,Golovin T.,3.25,0.5,-0.13888888888888884
2007-01-09,38.49105563910631,0.8534602137274133,0.9388062351001547,Peer S.,2.1,0.5,0.02499999999999991
2007-01-09,45.70812857143874,4.124041675618533,7.2170729323324325,Li N.,2.75,0.5,0.1875
2007-01-09,35.80470071429368,9.903427857145061,-9.903427857145061,Pratt N.,8.5,0.5,-0.21666666666666667
2007-01-09,28.643760571434946,7.1609401428587365,-7.1609401428587365,Fedak Y.,6.0,0.5,-0.19999999999999996
2007-01-09,35.80470071429368,3.5804700714293682,7.1609401428587365,Srebotnik K.,3.0,0.5,0.25
2007-01-09,41.3544293250092,3.4257584016762475,5.549728610715521,Ivanovic A.,2.62,0.5,0.15500000000000003
2007-01-10,33.969709802686125,7.3847195223230715,-7.3847195223230715,Peer S.,4.5,0.5,-0.1785714285714286
2007-01-10,32.554305227574204,1.415404575111923,-1.415404575111923,Srebotnik K.,2.2,0.5,-0.04166666666666663
2007-01-10,35.565578461124815,2.198009659525996,3.0112732335506145,Jankovic J.,2.37,0.5,0.0924999999999998
2007-01-11,28.156082948390477,7.4094955127343365,-7.4094955127343365,Li N.,7.0,0.5,-0.20833333333333337
2007-01-12,25.13935977534864,3.0167231730418367,-3.0167231730418367,Jankovic J.,2.75,0.5,-0.1071428571428571
2007-01-15,19.593912766080557,5.5454470092680825,-5.5454470092680825,Perry S.,9.5,0.5,-0.22058823529411775
